english_name,chinese_name,pinyin,latin_name,common_names,chinese_alt,type,entity_id
Lobelia,半边莲,ban bian lian,Herba Lobeliae Chinensis,Chinese lobelia,,herb,
Isatis Root,板蓝根,ban lan gen,Radix Isatidis,Woad|Dyer's woad,,herb,
Mylabris,班蟊,ban mao,Mylabris,Cantharides|Blister beetle,,herb,
Pinellia Rhizome,半夏,ban xia,Rhizoma Pinelliae,Pinellia|Ternate,,herb,
Scutellaria,半支莲,ban zhi lian,Herba Scutellariae Barbatae,Barbed skullcap,,herb,
Dioscorea,萆薢,bei xie,Rhizoma Dioscoreae Hypoglaucae,Hypoglaucous dioscorea,,herb,
Polygonum,萹蓄,bian xu,Herba Polygoni Avicularis,Knotweed|Common knotgrass,,herb,
Turtle Shell,鱉甲,bie jia,Carapax Trionycis,Soft-shelled turtle|Plastron,,herb,
Areca Seed,檳榔,bing lang,Semen Arecae,Betel nut|Areca,,herb,
Borneol,冰片,bing pian,Borneolum Syntheticum,Synthetic borneol|Camphor,,herb,
Rock Sugar,冰糖,bing tang,Crystallized Sugar,Rock candy|Crystal sugar,,herb,
Mentha,薄荷,bo he,Herba Menthae,Mint|Field mint,,herb,
Psoralea Fruit,補骨脂,bu gu zhi,Fructus Psoraleae,Malaytea scurfpea,,herb,
Silkworm Feces,蠶砂,can sha,Excrementum Bombycis,Bombyx|Silkworm,,herb,
Xanthium,蒼耳子,cang er zi,Fructus Xanthii,Cocklebur|Siberian cocklebur,,herb,
Atractylodes,蒼朮,cang zhu,Rhizoma Atractylodis,Swordlike atractylodes,,herb,
Iphigenia Bulb,草貝母,cao bei mu,Bulbus Iphigeniae Indicae,Indian iphigenia,,herb,
Alpinia Seed,草豆蔻,cao dou kou,Semen Alpiniae Katsumadai,Katsumada galangal,,herb,
Tsaoko,草果,cao guo,Fructus Tsaoko,Amomum tsao-ko,,herb,
Cassia Seed,草決明,cao jue ming,Semen Cassiae,Foetid cassia|Senna,,herb,
Aconite Root,草烏,cao wu,Radix Aconiti Kusnezoffii,Kusnezoff monkshood,,herb,
Biota Leaf,側柏葉,ce bai ye,Cacumen Biotae,Oriental arborvitae,,herb,
Tea Leaf,茶葉,cha ye,Folium Camelliae Sinensis,Green tea|Camellia,,herb,
Bupleurum Root,柴胡,chai hu,Radix Bupleuri,Thorowax|Chinese thorowax,,herb,
Toad Venom,蟾酥,chan su,Venenum Bufonis,Bufotoxin|Toad secretion,,herb,
Cicada Slough,蟬蛻,chan tui,Periostracum Cicadae,Cicada molting|Cicada skin,,herb,
Periwinkle,長春花,chang chun hua,Herba Catharanthi Rosei,Madagascar periwinkle,,herb,
Sweetflag,昌蒲,chang pu,Rhizoma Acori Graminei,Grassleaf sweetflag|Acorus,,herb,
Dichroa Root,常山,chang shan,Radix Dichroae,Antifebrile dichroa,,herb,
Fried Cork Bark,炒黃柏,chao huang bai,Cortex Phellodendri Praeparata,Amur cork tree,,herb,
Plantago,車前草,che qian cao,Herba Plantaginis,Rippleseed plantain,,herb,
Plantago Seed,車前子,che qian zi,Semen Plantaginis,Plantain seed|Plantago,,herb,
Artemisia,陳蒿,chen hao,Herba Artemisiae Scopariae,Oriental wormwood|Capillaris,,herb,
Tangerine Peel,陳皮,chen pi,Pericarpium Citri Reticulatae,Aged orange|Citrus peel,,herb,
Cinnabar,陳砂,chen sha,Cinnabaris,Cinnabar mineral|Vermilion,,herb,
Agarwood,沈香,chen xiang,Lignum Aquilariae Resinatum,Aloeswood|Agalloch,,herb,
Red Peony,赤芍,chi shao,Radix Paeoniae Rubra,Red peony|Peony root,,herb,
Red Halloysite,赤石脂,chi shi zhi,Halloysitum Rubrum,Red ochre|Red earth,,herb,
Rice Bean,赤小豆,chi xiao dou,Semen Phaseoli,Adzuki|Red bean,,herb,
Paris Root,重樓,chong lou,Rhizoma Paridis,Paris polyphylla,,herb,
Fritillaria,川貝母,chuan bei mu,Bulbus Fritillariae Cirrhosae,Tendrilleaf fritillary,,herb,
Szechuan Pepper,川椒,chuan jiao,Pericarpium Zanthoxyli,Sichuan|Chinese pepper,,herb,
Melia Fruit,川楝子,chuan lian zi,Fructus Meliae Toosendan,Szechwan chinaberry,,herb,
Pangolin Scale,穿山甲,chuan shan jia,Squama Manitis,Manis pentadactyla,,herb,
Ligusticum,川芎,chuan xiong,Rhizoma Ligustici Chuanxiong,Szechuan lovage,,herb,
Ailanthus Bark,椿皮,chun pi,Cortex Ailanthi,Tree of heaven,,herb,
Magnetite,磁石,ci shi,Magnetitum,Magnetite mineral|Lodestone,,herb,
Scallion,蔥白,cong bai,Bulbus Allii,Spring onion|Green onion,,herb,
Areca Husk,大腹皮,da fu pi,Pericarpium Arecae,Areca peel|Betel husk,,herb,
Rhubarb,大黃,da huang,Radix et Rhizoma Rhei,Rheum|Rhubarb,,herb,
Euphorbia,大戟,da ji,Radix Euphorbiae Pekinensis,Euphorbia pekinensis,,herb,
Isatis Leaf,大青葉,da qing ye,Folium Isatidis,Woad leaf|Indigo leaf,,herb,
Chinese Date,大棗,da zao,Fructus Ziziphi Jujibae,Jujube|Date,,herb,
Hematite,代赭石,dai zhe shi,Haematitum,Iron oxide|Red hematite,,herb,
Fermented Soybean,淡豆豉,dan dou chi,Semen Sojae Praeparatum,Prepared soybean,,herb,
Salvia Root,丹參,dan shen,Radix Salviae Miltiorrhizae,Red sage|Danshen,,herb,
Lophatherum,淡竹葉,dan zhu ye,Herba Lophatheri,Grassleaf lophatherum,,herb,
Angelica Root,當歸,dang gui,Radix Angelicae Sinensis,Dong quai|Chinese angelica,,herb,
Codonopsis Root,黨參,dang shen,Radix Codonopsis Pilosulae,Poor man's ginseng,,herb,
Kochia Fruit,地膚子,di fu zi,Fructus Kochiae,Bassia|Burning bush,,herb,
Wolfberry Bark,地骨皮,di gu pi,Cortex Lycii Radicis,Goji root bark,,herb,
Earthworm,地龍,di long,Lumbricus,Pheretima|Earthworm,,herb,
Bloodwort,地榆,di yu,Radix Sanguisorbae,Sanguisorba,,herb,
Clove,丁香,ding xiang,Flos Caryophylli,Clove flower|Caryophyllus,,herb,
Cordyceps,冬蟲夏草,dong chong xia cao,Cordyceps militaris,Caterpillar fungus|Yartsa gunbu,,herb,
Winter Melon Rind,冬瓜皮,dong gua pi,Exocarpium Benincasae,Winter melon peel,,herb,
Winter Melon Seed,冬瓜仁,dong gua ren,Semen Benincasae,Winter melon seed,,herb,
Angelica Pubescens,獨活,du huo,Radix Angelicae Pubescentis,Angelica pubescens,,herb,
Eucommia Bark,杜仲,du zhong,Cortex Eucommiae,Eucommia|Gutta-percha,,herb,
Donkey-Hide Glue,阿膠,e jiao,Colla Corii Asini,E-jiao|Gelatin,,herb,
Zedoaria,莪朮,e zhu,Rhizoma Zedoariae,Zedoaria|White turmeric,,herb,
Senna Leaf,番瀉葉,fan xie ye,Folium Sennae,Cassia|Senna,,herb,
Ledebouriella,防風,fang feng,Radix Ledebouriellae,Siler root|Saposhnikovia,,herb,
Stephania,粉防己,fen fang ji,Radix Stephania Tetrandrae,Stephania tetandra,,herb,
Honey,蜂蜜,feng mi,Mel,Bee honey|Pure honey,,herb,
Finger Citron,佛手,fo shou,Fructus Citri Sarcodactylis,Buddha's hand|Citrus,,herb,
Poria,茯苓,fu ling,Poria cocos,Poria|China root,,herb,
Raspberry,覆盆子,fu pen zi,Fructus Rubi,Rubus|Red raspberry,,herb,
Light Wheat,浮小麥,fu xiao mai,Fructus Tritici Levis,Immature wheat,,herb,
Prepared Aconite,附子,fu zi,Radix Aconiti Praeparata,Aconite|Monkshood,,herb,
Licorice Root,甘草,gan cao,Radix Glycyrrhizae,Licorice|Sweet root,,herb,
Dried Ginger,乾薑,gan jiang,Rhizoma Zingiberis,Ginger|Zingiber,,herb,
Euphorbia Kansui,甘遂,gan sui,Radix Euphorbiae Kansui,Euphorbia|Kansui,,herb,
Ligusticum,藳本,gao ben,Rhizoma Ligustici,Chinese lovage,,herb,
Galangal,高良薑,gao liang jiang,Rhizoma Alpiniae Officinarum,Alpinia|Chinese ginger,,herb,
Kudzu Root,葛根,ge gen,Radix Puerariae,Pueraria|Arrowroot,,herb,
Gecko,蛤蚧,ge jie,Gecko,Tokay gecko|Climbing gecko,,herb,
Chain Fern,狗脊,gou ji,Rhizoma Cibotii,Cibotium|Male fern,,herb,
Goji Berry,枸杞子,gou qi zi,Fructus Lycii,Lycium|Wolfberry,,herb,
Uncaria Stem,鉤藤,gou teng,Ramulus Uncariae cum Uncis,Cat's claw|Gambir,,herb,
Drynaria,骨碎補,gu sui bu,Rhizoma Drynariae,Bone fern|Gu sui bu,,herb,
Rice Sprout,谷芽,gu ya,Fructus Oryzae Germinatus,Germinated rice,,herb,
Trichosanthes,瓜蔞,gua lou,Fructus Trichosanthis,Chinese cucumber|Snake gourd,,herb,
Trichosanthes Seed,瓜蔞仁,gua lou ren,Semen Trichosanthis,Snake gourd seed,,herb,
Aristolochia,廣防己,guang fang ji,Radix Aristolochiae Fangchi,Aristolochia|Stephania,,herb,
Tortoise Plastron,龜板,gui ban,Plastrum Testudinis,Turtle shell,,herb,
Cinnamon Twig,桂枝,gui zhi,Ramulus Cinnamomi,Cinnamon|Ceylon,,herb,
Catechu,孩兒茶,hai er cha,Catechu,Acacia|Cutch,,herb,
Pumice,海浮石,hai fu shi,Pumex,Volcanic pumice,,herb,
Clam Shell,海蛤殼,hai ge ke,Concha Cyclinae,Cyclina|Seashell,,herb,
Lygodium Spore,海金沙,hai jin sha,Spora Lygodii,Fern spore|Spore,,herb,
Sargassum,海藻,hai zao,Sargassum,Kelp|Seaweed,,herb,
Ecliptae,旱蓮草,han lian cao,Herba Ecliptae,Eclipta|False daisy,,herb,
Albizia Bark,合歡皮,he huan pi,Cortex Albizziae,Silk tree|Mimosa,,herb,
Fleece Flower,何首烏,he shou wu,Radix Polygoni Multiflori,Fo-ti|Polygonum,,herb,
Terminalia Fruit,訶子,he zi,Fructus Chebulae,Myrobalan|Terminalia,,herb,
Black Sesame,黑芝麻,hei zhi ma,Semen Sesami Nigrum,Black sesame,,herb,
Safflower,紅花,hong hua,Flos Carthami,Safflower|Carthamus,,herb,
Red Yeast Rice,紅曲,hong qu,Monascus purpureus,Fermented rice|Koji,,herb,
Sargentodoxae,紅藤,hong teng,Caulis Sargentodoxae,Red vine|Sargentodoxae,,herb,
Magnolia Bark,厚朴,hou po,Cortex Magnoliae Officinalis,Magnolia,,herb,
Picrorhiza,胡黃連,hu huang lian,Rhizoma Picrorhizae,Picrorhiza|Kutki,,herb,
Black Pepper,胡椒,hu jiao,Fructus Piperis Nigri,Pepper|Piper,,herb,
Amber,琥珀,hu po,Succinum,Amber|Fossilized resin,,herb,
Walnut,胡桃肉,hu tao ren,Semen Juglandis,Walnut|Juglans,,herb,
Japanese Knotweed,虎杖,hu zhang,Radix Polygoni Cuspidati,Knotweed|Polygoni,,herb,
Szechuan Pepper,花椒,hua jiao,Pericarpium Zanthoxyli,Chinese pepper|Zanthoxylum,,herb,
Talc,滑石,hua shi,Talcum,Talc|Soapstone,,herb,
Sophora Flower,槐花,huai hua,Flos Sophorae,Pagoda tree|Sophora,,herb,
Phellodendron,黃柏,huang bai,Cortex Phellodendri,Amur cork tree,,herb,
Siberian Solomon Seal,黃精,huang jing,Rhizoma Polygonati,Polygonatum,,herb,
Coptis,黃連,huang lian,Rhizoma Coptidis,Chinese goldthread,,herb,
Astragalus Root,黃耆,huang qi,Radix Astragali,Milkvetch|Astragalus,,herb,
Scutellaria,黃芩,huang qin,Radix Scutellariae,Baical skullcap,,herb,
Cannabis Seed,火麻仁,huo ma ren,Fructus Cannabis,Hemp seed|Cannabis,,herb,
Patchouli,藿香,huo xiang,Herba Pogostemonis,Pogostemon|Agastache,,herb,
Gizzard Lining,雞內金,ji nei jin,Endothelium Corneum Gigeriae Galli,Chicken gizzard,,herb,
Millettia Vine,雞血藤,ji xue teng,Caulis Spatholobi,Siento vine|Red vine,,herb,
Health Herb,健身,jian shen,Tonic preparation,Strengthening,,herb,
Silkworm,僵蠶,jiang can,Bombyx Batryticatus,Blighted silkworm,,herb,
Turmeric,薑黃,jiang huang,Rhizoma Curcumae Longae,Curcuma|Golden root,,herb,
Dalbergia,降香,jiang xiang,Lignum Dalbergiae Odoriferae,Fragrant wood|Rosewood,,herb,
Platycodon,桔梗,jie geng,Radix Platycodi,Balloon flower,,herb,
Spirulina,焦蘭,jiao lan,Spirulina,Blue-green algae,,herb,
Buckwheat,蕎麥,jiao mai,Fagopyrum esculentum,Buckwheat|Groats,,herb,
Golden Fruit,金果蘭,jin guo lan,Unknown,Rare fruit,,herb,
Lysimachia,金錢草,jin qian cao,Herba Lysimachiae,Moneywort|Creeping jenny,,herb,
Honeysuckle,金銀花,jin yin hua,Flos Lonicerae,Lonicera|Honeysuckle,,herb,
Rosehip,金櫻子,jin ying zi,Fructus Rosae Laevigatae,Rose hip|Japanese rose,,herb,
Schizonepeta,荊芥,jing jie,Herba Schizonepetae,Schizonepeta|Jing jie,,herb,
Schizonepeta Spike,荊芥穗,jing jie sui,Spica Schizonepetae,Herb spike,,herb,
Chrysanthemum,菊花,ju hua,Flos Chrysanthemi,Chrysanthemum,,herb,
Orange Peel Red,橘紅,ju hong,Pericarpium Citri Reticulatae Rubra,Red orange,,herb,
Cassiae Seed,決明子,jue ming zi,Semen Cassiae,Foetid cassia|Cassia,,herb,
Chinaberry Bark,苦楝皮,ku lian pi,Cortex Meliae,Melia azedarach,,herb,
Sophora Root,苦參,ku shen,Radix Sophorae Flavescentis,Sophora|Alkaloid,,herb,
Coltsfoot,款冬花,kuan dong hua,Flos Farfarae,Tussilago|Coltsfoot,,herb,
Kelp,昆布,kun bu,Thallus Laminariae,Laminaria|Seaweed,,herb,
Radish Seed,萊菔子,lai fu zi,Semen Raphani,Daikon|Radish,,herb,
Forsythia,連翹,lian qiao,Fructus Forsythiae,Forsythia suspensa,,herb,
Lotus Seed,蓮子,lian zi,Semen Nelumbinis,Lotus|Nelumbo,,herb,
Litchi Seed,荔枝核,li zhi he,Semen Litchi,Litchi|Lychee,,herb,
Sulfur,硫黃,liu huang,Sulfur,Sulfur|Mineral,,herb,
Gentian Root,龍膽草,long dan cao,Radix Gentianae,Chinese gentian,,herb,
Fossilized Bone,龍骨,long gu,Os Draconis,Dragon bone|Fossil,,herb,
Longan Fruit,龍眼肉,long yan rou,Arillus Longan,Longan|Dimocarpus,,herb,
Mung Bean,綠豆,lu dou,Semen Phaseoli,Mung|Green bean,,herb,
Hornet Nest,露蜂房,lu feng fang,Nidus Vespae,Wasp nest,,herb,
Reed Rhizome,蘆根,lu gen,Rhizoma Phragmitis,Phragmites|Reed,,herb,
Aloe,蘆薈,lu hui,Aloe,Aloe|Aloe barbadensis,,herb,
Deer Antler Velvet,鹿茸,lu rong,Cornu Cervi Pantotrichum,Cervus|Deer antler,,herb,
Birthwort,馬兜鈴,ma dou ling,Fructus Aristolochiae,Aristolochia|Birthwort,,herb,
Ephedra,麻黃,ma huang,Herba Ephedrae,Ephedra|Ma huang,,herb,
Ephedra Root,麻黃根,ma huang gen,Radix Ephedrae,Ephedra root,,herb,
Nux Vomica,馬錢子,ma qian zi,Semen Nux-Vomica,Strychnos|Nux vomica,,herb,
Ophiopogon,麥冬,mai dong,Radix Ophiopogonis,Liriope|Ophiopogon,,herb,
Barley Sprout,麥芽,mai ya,Fructus Hordei Germinatus,Hordeum|Barley,,herb,
Vitex Fruit,蔓荊子,man jing zi,Fructus Viticis,Vitex|Chaste tree,,herb,
Glauber's Salt,芒硝,mang xiao,Natrii Sulfas,Sodium sulfate,,herb,
Rose Flower,玫瑰花,mei gui hua,Flos Rosae,Rosa|Rose,,herb,
Buddleia,密蒙花,mi meng hua,Flos Buddlejae,Buddleja|Butterfly bush,,herb,
Myrrh,沒藥,mo yao,Myrrha,Commiphora|Myrrh,,herb,
Tree Peony Bark,牡丹皮,mu dan pi,Cortex Moutan Radicis,Paeonia|Peony bark,,herb,
Quince Fruit,木瓜,mu gua,Fructus Chaenomelis,Chaenomeles|Quince,,herb,
Oyster Shell,牡蠣,mu li,Concha Ostreae,Ostrea|Oyster,,herb,
Akebia Stem,木通,mu tong,Caulis Akebiae,Akebia|Clematis,,herb,
Aucklandia,木香,mu xiang,Radix Aucklandiae,Saussaurea|Aucklandia,,herb,
Burdock Fruit,牛蒡子,niu bang zi,Fructus Arctii,Arctium|Burdock,,herb,
Achyranthes,牛膝,niu xi,Radix Achyranthis Bidentatae,Achyranthes,,herb,
Privet Fruit,女貞子,nu zhen zi,Fructus Ligustri Lucidi,Ligustrum|Privet,,herb,
Lotus Rhizome Node,藕節,ou jie,Nodus Nelumbinis Rhizomatis,Lotus node,,herb,
Eupatorium,佩蘭,pei lan,Herba Eupatorii,Eupatorium|Eupatorio,,herb,
Loquat Leaf,枇杷葉,pi pa ye,Folium Eriobotryas,Eriobotrya|Loquat,,herb,
Dandelion,蒲公英,pu gong ying,Herba Taraxaci,Taraxacum|Dandelion,,herb,
Cattail Pollen,蒲黃,pu huang,Pollen Typhae,Typha|Cattail,,herb,
Rubia Root,茜草,qian cao,Radix Rubiae,Rubia|Madder,,herb,
Hogfennel,前胡,qian hu,Radix Peucedani,Peucedanum,,herb,
Euryale Seed,芡實,qian shi,Semen Euryales,Euryale|Fox nut,,herb,
Notopterygium,羌活,qiang huo,Rhizoma Notopterygii,Notopterygium,,herb,
Gentiana Root,秦艽,qin jiao,Radix Gentianae Macrophyllae,Gentiana,,herb,
Ash Tree Bark,秦皮,qin pi,Cortex Fraxini,Fraxinus|Ash,,herb,
Indigo,青黛,qing dai,Indigo Naturalis,Indigo|Plant indigo,,herb,
Wormwood,青蒿,qing hao,Herba Artemisiae Annuae,Artemisia|Qinghao,,herb,
Green Tangerine Peel,青皮,qing pi,Pericarpium Citri Reticulatae Viride,Green citrus,,herb,
Dianthus,瞿麥,qu mai,Herba Dianthi,Dianthus|Pink,,herb,
Scorpion,全蠍,quan xie,Scorpio,Scorpion,,herb,
Ginseng Root,人參,ren shen,Radix Ginseng,Ginseng|Panax,,herb,
Cistanche,肉蓯蓉,rou cong rong,Herba Cistanches,Cistanche|Desert,,herb,
Nutmeg,肉豆蔻,rou dou kou,Semen Myristicae,Myristica|Nutmeg,,herb,
Cinnamon Bark,肉桂,rou gui,Cortex Cinnamomi,Ceylon|Cinnamon,,herb,
Frankincense,乳香,ru xiang,Olibanum,Boswellia|Frankincense,,herb,
Scirpus,三棱,san leng,Rhizoma Sparganii,Sparganium|Bur,,herb,
Notoginseng,三七,san qi,Radix Notoginseng,Panax|Pseudoginseng,,herb,
Mulberry Bark,桑白皮,sang bai pi,Cortex Mori Radicis,Morus|Mulberry,,herb,
Mulberry Mistletoe,桑寄生,sang ji sheng,Ramulus Taxilli,Taxillus|Mistletoe,,herb,
Mantis Egg,桑螵蛸,sang piao xiao,Ootheca Mantidis,Mantis|Ootheca,,herb,
Mulberry Fruit,桑椹,sang shen,Fructus Mori,Morus|Mulberry,,herb,
Mulberry Leaf,桑葉,sang ye,Folium Mori,Mulberry leaf,,herb,
Cardamom,砂仁,sha ren,Fructus Amomi,Amomum|Cardamom,,herb,
Glehnia Root,沙參,sha shen,Radix Glehniae,Glehnia|Beach lily,,herb,
Chinese Yam,山藥,shan yao,Rhizoma Dioscoreae,Dioscorea|Yam,,herb,
Hawthorn Fruit,山楂,shan zha,Fructus Crataegi,Crataegus|Hawthorn,,herb,
Cornus Fruit,山茱萸,shan zhu yu,Fructus Corni,Cornus|Cornelian,,herb,
Cnidium Seed,蛇床子,she chuang zi,Fructus Cnidii,Cnidium|Echinidium,,herb,
Belamcanda,射干,she gan,Rhizoma Belamcandae,Belamcanda|Blackberry,,herb,
Medicated Leaven,神麴,shen qu,Massa Medicata Fermentata,Fermented|Leaven,,herb,
Fresh Rehmannia,生地黃,sheng di huang,Radix Rehmanniae,Rehmannia|Foxglove,,herb,
Fresh Ginger,生薑,sheng jiang,Rhizoma Zingiberis Recens,Fresh ginger,,herb,
Cohosh,升麻,sheng ma,Rhizoma Cimicifugae,Cimicifuga|Black cohosh,,herb,
Sweetflag,石菖蒲,shi chang pu,Rhizoma Acori Graminei,Acorus|Grass-leaf,,herb,
Gypsum,石膏,shi gao,Gypsum Fibrosum,Gypsum|Mineral,,herb,
Dendrobium,石斛,shi hu,Herba Dendrobii,Dendrobium|Orchid,,herb,
Abalone Shell,石決明,shi jue ming,Concha Haliotidis,Haliotis|Abalone,,herb,
Quisqualis,使君子,shi li zi,Fructus Quisqualis,Quisqualis|Rangoon,,herb,
Pyrrosia Leaf,石韋,shi wei,Folium Pyrrosiae,Pyrrosia|Tongue fern,,herb,
Cooked Rehmannia,熟地黃,shu di huang,Radix Rehmanniae Praeparata,Prepared|Rehmannia,,herb,
Leech,水蛭,shui zhi,Hirudo,Leech|Hirudo,,herb,
Sponge Gourd,絲瓜絡,si gua luo,Vascularis Luffae,Luffa|Sponge,,herb,
Styrax,蘇合香,su he xiang,Resin Liquidambaris,Styrax|Resin,,herb,
Sappan Wood,蘇木,su mu,Lignum Sappan,Sappan|Dye wood,,herb,
Perilla Fruit,蘇子,su zi,Fructus Perillae,Perilla|Shiso,,herb,
Jujube Seed,酸棗仁,suan zao ren,Semen Ziziphi Spinosae,Ziziphus|Jujube,,herb,
Cynomorium,鎖陽,suo yang,Herba Cynomorii,Cynomorium|Desert,,herb,
Pseudostellaria,太子參,tai zi shen,Radix Pseudostellariae,Star root,,herb,
Sandalwood,檀香,tan xiang,Lignum Santali Albi,Santalum|Sandalwood,,herb,
Peach Seed,桃仁,tao ren,Semen Persicae,Prunus|Peach,,herb,
Trichosanthes,天花粉,tian hua fen,Radix Trichosanthis,Kirilowii|Trichosanthes,,herb,
Gastrodia,天麻,tian ma,Rhizoma Gastrodiae,Gastrodia|Orchid,,herb,
Asparagus Root,天門冬,tian men dong,Radix Asparagi,Asparagus,,herb,
Arisaema,天南星,tian nan xing,Rhizoma Arisaematis,Arisaema|Pinellia,,herb,
Descurainia,葶藶子,ting li zi,Semen Descurainiae,Descurainia|Pepper weed,,herb,
Rice Pith,通草,tong cao,Medulla Tetrapanacis,Tetrapanax|Pith,,herb,
Smilax,土茯苓,tu fu ling,Rhizoma Smilacis Glabrae,Smilax|Sarsaparilla,,herb,
Cuscuta Seed,菟絲子,tu si zi,Semen Cuscutae,Cuscuta|Dodder,,herb,
Ark Shell,瓦楞子,wa leng zi,Concha Arcae,Anadara|Clam shell,,herb,
Vaccaria Seed,王不留行,wang bu liu xing,Semen Vaccariae,Vaccaria|Cow cockle,,herb,
Clematis Root,威靈仙,wei ling xian,Radix Clematidis,Clematis|Leather flower,,herb,
Gallnut,五倍子,wu bei zi,Galla Chinensis,Chinese sumac|Gall,,herb,
Centipede,蜈蚣,wu gong,Scolopendra,Centipede|Scolopendra,,herb,
Acanthopanax,五加皮,wu jia pi,Cortex Acanthopanacis Radicis,Acanthopanax,,herb,
Flying Squirrel Feces,五靈脂,wu ling zhi,Faeces Trogopterori,Trogopterus,,herb,
Mume Fruit,烏梅,wu mei,Fructus Mume,Prunus|Mume,,herb,
Schisandra Fruit,五味子,wu wei zi,Fructus Schisandrae,Schisandra|Magnolia,,herb,
Lindera Root,烏藥,wu yao,Radix Linderae,Lindera|Linderae,,herb,
Evodia Fruit,吳茱萸,wu zhu yu,Fructus Evodiae,Evodia|Rutaceae,,herb,
Asarum,細辛,xi xin,Herba Asari,Chinese wild ginger,,herb,
American Ginseng,西洋參,xi yang shen,Radix Panacis Quinquefolii,Panax|American,,herb,
Prunella Spike,夏枯草,xia ku cao,Spica Prunellae,Prunella|Self-heal,,herb,
Agrimony,仙鶴草,xian he cao,Herba Agrimoniae,Agrimonia|Agrimony,,herb,
Curculigo Root,仙茅,xian mao,Rhizoma Curculiginis,Curculigo|Golden eye,,herb,
Nutgrass,香附,xiang fu,Rhizoma Cyperi,Cyperus|Sedge,,herb,
Elsholzia,香薷,xiang ru,Herba Elsholtziae,Elsholzia|Aromatic,,herb,
Fennel Seed,小茴香,xiao hui xiang,Fructus Foeniculi,Foeniculum|Fennel,,herb,
Cirsium Herb,小薊,xiao ji,Herba Cephalanoploris,Cirsium|Thistle,,herb,
Allium,薤白,xie bai,Bulbus Allii Macrostemi,Chinese chive,,herb,
Magnolia Flower,辛夷,xin yi,Flos Magnoliae,Magnolia|Magnolia biondii,,herb,
Apricot Seed,杏仁,xing ren,Semen Armeniacae Amarum,Prunus|Apricot,,herb,
Bear Bile,熊膽,xiong dan,Vesica Fellis Ursi,Bear gallbladder,,herb,
Realgar,雄黃,xiong huang,Realgar,Arsenic disulfide,,herb,
Dipsacus,續斷,xu duan,Radix Dipsaci,Dipsacus|Teasel,,herb,
Inula Flower,旋覆花,xuan fu hua,Flos Inulae,Inula|Japanese inula,,herb,
Scrophularia,玄參,xuan shen,Radix Scrophularia,Ningpoensis|Figwort,,herb,
Corydalis,延胡索,yan hu suo,Rhizoma Corydalis,Corydalis|Yanhusuo,,herb,
Polygonum Vine,夜交藤,ye jiao teng,Caulis Polygoni Multiflori,Fleece flower vine,,herb,
